STAND 3, SURVEY DATES: 31 May 1986 (RAE:R0,8) and 14 Jun 1986 (RAE:R0, DAC:R0) OBSERVERS: R.A. Ellis (#2), ROWS: 0,8/31 May & 0/14Jun, D.A. Chesterman (#4), ROWS: 0/14Jun), DATA ENTRY: 22 Nov 1996 (note: RAE used thermometer "H"; DAC used "M"?)
(Note: RAE data from 31 May are in 0A-0I and 8A-8I below; RAE data from 14 Jun are in 0a-0i, and DAC data from 14 Jun are in 4A0-4I0 in the space normally given to Row 4 data! This was an abnormal month with DAC calibration redundancies in Row 0)

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A0   4C0   4E0   4G0   4I0   6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    0a    0c    0e    0g    0i
MACA   3.0   3.0   2.0   4.0   4.0   0.0   0.0   0.0   0.0   0.0  13.0   2.0   1.0   3.0   3.0   0.0   0.0   0.0   0.0   0.0   2.0   2.0   2.0   0.5   3.0   6.0   3.0   2.0   3.0   5.0
MELI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ORSE   0.0   0.0   0.1   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.1   0.0   1.0   0.5   0.0   0.0   0.1   1.0   0.0
PYCH   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.0
RUPU   0.0   0.5   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.1   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   1.0   0.01  2.0   0.0
VIAD   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0
VIRE   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.01  0.5   0.1   0.1   0.0

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A0   4C0   4E0   4G0   4I0   6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    0a    0c    0e    0g    0i
CXSI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CXRI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ELGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0
ELIN   0.01  0.01  0.01  0.01  0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.01  0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.1   0.01  0.1   0.1   0.01  0.1   0.1   0.1
ORPU   0.01  0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.01  0.0   0.01
SCPU   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0
DRCA   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   2.0   0.0   0.0   0.0
