1B,15,.5,1,.5,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1D,80,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1F,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,0,0,0
1H,0,.5,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1J,0,.5,1,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,0,.5,.1,0,0
3B,2,.5,2,0,0,2,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0
3D,55,1,.5,2,0,0,0,0,.1,0,0,.5,0,0,0,0,0,0,0,.1,0,0
3F,50,.5,0,.5,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3H,10,1,.5,4,0,8,3,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0
3J,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5B,7,3,.1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5D,3,2,2,3,0,0,30,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0
5F,65,1,1,2,0,2,.5,0,0,0,0,.5,0,0,0,.1,0,0,0,.5,0,0
5H,.5,1,.1,50,0,1,.5,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0
5J,5,0,0,0,0,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7B,20,.5,0,.5,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7D,.5,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7F,8,.5,0,6,0,40,.5,0,0,0,1,0,0,0,.1,.1,0,0,0,0,0,0
7H,2,.1,0,1,0,70,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7J,0,.5,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9B,.5,1,.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9D,0,1,20,.5,0,0,0,0,0,0,0,.5,0,0,2,2,0,0,.5,.5,0,0
9F,0,1,3,1,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0
9H,1,12,.5,.5,0,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,.1,.1,0
9J,2,1,.5,0,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0
1B,25,.5,.5,1,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1D,70,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1F,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1H,0,.5,.1,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1J,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,0,.1,0,0
3J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3H,10,1,1,3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3F,25,0,0,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D,60,1,0,2,0,0,.5,0,.5,0,0,.5,0,0,0,0,0,0,0,0,0,0
3B,4,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5B,7,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5D,.5,15,.5,4,0,0,35,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0
5F,60,1,.5,3,0,1,0,.1,0,0,0,1,0,0,0,0,0,0,0,.5,0,0
5H,0,1,.1,40,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5J,5,.5,0,0,0,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7J,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7H,2,.5,0,1,0,70,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7F,10,1,0,7,0,35,.5,0,1,0,.5,0,0,0,.5,0,0,0,0,0,0,0
7D,.1,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7B,8,.5,0,.5,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9B,.1,.5,.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9D,0,5,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.5,0,0
9F,.1,1,1,1,0,0,0,0,0,0,0,.1,0,0,0,0,0,0,0,.1,0,0
9H,1,10,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,0,0,0,.1,0,0
9J,4,10,0,0,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0
